Assumption,Most probable total value (tCO2e/collaborator),Probability E1>=E2,Probability E2>=E3,Probability E3>=E4,Probability E4>=E5,Probability good order on most important declared scopes,Uncertainty measure,var,variable_description
0,6.836734693877551,0.048072244897959165,0.023109166666666677,0.024454999999999994,0.030146666666666676,0.04030652173913043,0.05757509030857361,0,fuel emission factor
1,7.142857142857143,0.08229204081632653,0.037981458333333336,0.03686375,0.029448095238095235,0.07790600000000002,0.08212313520733275,0,
2,15.612244897959183,0.016816122448979592,0.009075625000000009,0.009622749999999994,0.008678095238095247,0.01048583333333331,0.01879835332950979,0,
0,7.244897959183674,0.0459608163265306,0.024469999999999992,0.025209749999999996,0.020361904761904755,0.04061913043478262,0.058297571612610816,1,
1,7.755102040816326,0.07691448979591838,0.037769791666666656,0.03937333333333334,0.041839047619047644,0.07604333333333337,0.08022626728181378,1,average time consumption
2,17.346938775510203,0.016416938775510207,0.008918958333333334,0.009209250000000018,0.008401428571428587,0.009418571428571445,0.0176974933343098,1,
0,6.836734693877551,0.03565224489795918,0.0048831250000000055,0.005225749999999994,0.00906095238095241,0.019691521739130458,0.03346472294764455,2,
1,7.244897959183674,0.07802571428571427,0.011693124999999999,0.011147750000000008,0.03156000000000002,0.05414822222222223,0.07157401542574389,2,
2,12.244897959183673,0.010134489795918342,0.002386666666666676,0.0032820000000000015,0.009611904761904747,0.003920204081632641,0.010150179326668042,2,fuel monetary emission factor
0,6.530612244897959,0.01029040816326531,0.018206041666666666,0.021677750000000003,0.011130476190476166,0.02294304347826088,0.030559115419496678,3,
1,5.408163265306122,0.018988571428571438,0.02906208333333335,0.03515153846153847,0.014937142857142868,0.04239488888888892,0.04979303282630087,3,
2,21.428571428571427,0.004124489795918379,0.007594999999999998,0.008726499999999998,0.005798095238095257,0.006968958333333344,0.012647249978269878,3,
0,7.346938775510204,0.011371224489795901,0.019510833333333342,0.024660750000000013,0.021792380952380952,0.025074565217391303,0.03405474089579668,4,
1,4.387755102040816,0.023012448979591822,0.03400104166666667,0.04135435897435897,0.029235238095238102,0.05064555555555552,0.0586950493504551,4,
2,12.346938775510203,0.004665714285714293,0.00858041666666667,0.010562250000000009,0.012321428571428573,0.008271041666666637,0.014082019744861788,4,
0,6.836734693877551,0.004791428571428571,0.013893750000000017,0.027921750000000013,0.032167619047619035,0.023072826086956533,0.050131272643129804,5,
1,3.979591836734694,0.0077265306122448925,0.02184562500000001,0.04630950000000001,0.05340571428571429,0.04451511111111113,0.06730334925972468,5,
2,15.408163265306122,0.0027685714285714223,0.0058995833333333365,0.012767500000000005,0.01916857142857143,0.007484489795918417,0.016502424874544352,5,
0,6.122448979591836,0.003673877551020421,0.001898541666666656,0.008596500000000009,0.006640952380952401,0.006484888888888874,0.01523859062009809,6,
1,4.8979591836734695,0.004091020408163261,0.0017872916666666731,0.012781794871794877,0.011196666666666662,0.009985777777777823,0.01613507768323449,6,
2,15.408163265306122,0.0024395918367346964,0.0018758333333333346,0.005380999999999992,0.009660000000000004,0.0028395918367346857,0.006721179352225766,6,
0,7.959183673469388,0.003031428571428584,0.013280625000000002,0.0241035,0.03719619047619046,0.019758695652173898,0.043567778612925205,7,
1,4.8979591836734695,0.004305714285714276,0.020783750000000007,0.034297500000000015,0.054189999999999995,0.03589422222222223,0.05845279012612742,7,
2,12.755102040816327,0.0018232653061224626,0.0059181249999999954,0.009336999999999993,0.010887142857142835,0.006441874999999964,0.016427384008960887,7,
0,5.918367346938775,0.002804693877551017,0.012249791666666676,0.021182,0.024338095238095252,0.019072444444444447,0.04009370677561991,8,
1,3.673469387755102,0.0037565306122449107,0.01738375,0.02961975,0.0482295238095238,0.031113555555555575,0.05010264143289033,8,
2,14.591836734693878,0.0023438775510204015,0.005385625000000012,0.008401999999999998,0.01086428571428572,0.0060551020408163,0.01513667956590219,8,
0,6.020408163265306,0.0015463265306122486,0.0030752083333333256,0.003078750000000014,0.0013433333333333435,0.00396804347826088,0.00871751660143477,9,
